t,u (m),v (m/s),a (m/s2)
167.33,1.9192455178804298e-08,-4.435985668192723e-07,-7.029773798544835e-06
167.33,1.7678994786941496e-08,-4.6476123057445134e-07,-4.3058701398055156e-06
167.34,1.611005636219765e-08,-4.768808059943868e-07,-1.6258772378094885e-06
167.34,1.4515485197972205e-08,-4.80132671112978e-07,9.753943349306165e-07
167.34,1.2924364038040666e-08,-4.7480000665307184e-07,3.4730130945370683e-06
167.35,1.1364705520391514e-08,-4.6124251780076583e-07,5.849944154716424e-06
167.35,9.863236860354831e-09,-4.3987230169110214e-07,8.094421847921602e-06
167.35,8.445249815255466e-09,-4.111387734385968e-07,1.0196961610190525e-05
167.36,7.134484298125253e-09,-3.7552355088394397e-07,1.2147373869559634e-05
167.36,5.953012956981665e-09,-3.335450241231591e-07,1.393210064417135e-05
167.36,4.92109672823671e-09,-2.857712683355383e-07,1.5532193791331682e-05
167.37,4.056987497338469e-09,-2.3283895874021541e-07,1.692217770743053e-05
167.37,3.376663046365434e-09,-1.7547519380372464e-07,1.8069971327656714e-05
167.37,2.8934905647447714e-09,-1.14518650182901e-07,1.8937924044290756e-05
167.38,2.6178270941546593e-09,-5.093638030212762e-08,1.948493678958675e-05
